Index,GPTo_antwoorden
0,"Zo pak je het in de praktijk meestal aan binnen een standaard-inrichting van AFAS Profit HRM/Payroll. De benamingen kunnen door eigen inrichting nét iets afwijken, maar de menu-structuur is overal gelijk.

A. Controleer eerst of alle 2024-runs definitief zijn  
• Ga naar Profit Explorer ▸ HRM / Payroll ▸ Salarisverwerking ▸ Salarisverwerkingen.  
• Filter op boekjaar 2024 en controleer of periode 12 (of de laatste periode in jouw 4-weken-kalender) de status “Definitief” heeft. Pas dan zijn de cumulatieven betrouwbaar.

B. Bepaal welk looncomponent ‘ongemaximeerd pensioengevend loon’ is  
1. Ga naar Inrichting ▸ Payroll ▸ Looncomponent.  
2. Zoek (F3) op omschrijving “pensioen”, “ongemaximeerd” of op component-type “Pensioengevend loon (ongeplafonneerd)”.  
   • Bij standaard-AFAS is dit vaak componentcode 00235 of 00236, maar controleer jouw omgeving.  
3. Noteer de componentcode; die gebruik je in de analyse.

C. Haal het cumulatieve jaarbedrag op (twee gangbare methoden)

Methode 1 – Standaard rapport ‘Looncomponent cumulatie (jaar)’  
1. HRM / Payroll ▸ Rapporten ▸ Jaarwerk ▸ Looncomponent cumulatie (jaar).  
2. Vul in:  
   • Boekjaar: 2024  
   • Looncomponent: de code uit stap B  
   • (Optioneel) deelorganisatie of afdeling filteren.  
3. Kies ‘Verwerken’ en open het rapport (PDF of Excel).  
4. Kolom ‘Cumulatief bedrag’ toont per medewerker én een totaaltelling het ongemaximeerd pensioengevend jaarinkomen.

Methode 2 – Analyse ‘Cumulatief salaris per medewerker’ (meest flexibel)  
1. HRM / Payroll ▸ Analyse ▸ Salaris ▸ Cumulatief salaris per medewerker.  
2. Stel de selectie in:  
   • Jaar: 2024  
   • Looncomponent: code uit stap B  
3. Klik ‘Verversen’ (F5).  
4. Toon in de grid eventueel extra kolommen via F7 ▸ ‘Wijzigen weergave’ (bijv. ‘Werknemer-nr’, ‘Naam’, ‘Afdeling’).  
5. Exporteer naar Excel met Ctrl+E als je het bestand moet aanleveren aan ASR Loyalis.

D. Werken jullie met de standaard UPA/Loyalis-export?  
• HRM / Payroll ▸ Output ▸ Pensioenexport ▸ Loyalis.  
• Kies exportset 2024, klik ‘Voorbeeld’.  
  In de Excel/CSV-uitvoer staat meestal een kolom ‘Pensioengevend jaarsalaris ongeplafonneerd’.  
• Deze export is vaak al geschikt om 1-op-1 naar ASR te versturen; controleer in de handleiding van Loyalis welke kolom zij exact verwachten.

E. Veel voorkomende vragen/fouten  
• Cumulatief bedrag is € 0: controleer of runs nog ‘Voorlopig’ zijn of of het looncomponent per ongeluk op “Niet pensioengevend” staat.  
• Rapport/Analyse is niet zichtbaar: rechten zitten in het autorisatieprofiel ‘Payroll rapportage’. Laat een applicatiebeheerder de rol toevoegen of tijdelijk toekennen.  
• Meerdere componenten voor pensioengevend loon: gebruik in de analyse het vinkje ‘Groeperen op rubriek Pensioengevend loon’ of sommeer de componenten handmatig in Excel.

Mocht je deze opties niet terugvinden (bij maatwerk-inrichting), geef dan aan welke van de bovengenoemde menupaden je wél/niet ziet. Dan kunnen we specifieker meekijken."
1,"Beste [naam],

Dank voor je melding. Ik begrijp dat de InSite‐testomgevingen van zowel BNNVARA als OMROEP ZWART niet meer opstarten terwijl ze eerder vandaag nog probleemloos werkten. Ik help je hier graag zo snel mogelijk mee verder.

1. Eerste controle en bekende issues  
   • Op dit moment staan er bij ons geen geplande wijzigingen of releases voor deze omgevingen in de changelog.  
   • Er is wél rond 12:35 uur een korte storing in de SSO‐laag (Azure AD / ADFS) geconstateerd die mogelijk impact heeft op testomgevingen die via de SSO‐tegel worden gestart. Die storing zou na 10 minuten hersteld moeten zijn, maar we zien in de monitoring daarna nog foutmeldingen (HTTP 503) op BNNVARA‐test en ZWART‐test. We onderzoeken of dit dezelfde oorzaak heeft.

2. Kun je ons de volgende aanvullende informatie sturen?  
   • Het exacte URL dat je gebruikt (de volledige link uit de adresbalk).  
   • Een schermafbeelding of de precieze foutmelding (bijv. “ERR_CONNECTION_TIMED_OUT”, “503 Service Unavailable”, blanco scherm, enz.).  
   • De tijdstempel waarop je het laatst succesvol kon inloggen vandaag.  
   • Of je de testomgeving via de InSite‐tegel óf via een direct deeplink hebt geopend.  
   • Browser + versie (Chrome/Edge/Firefox + versie nummer).  

3. Snel zelf te testen work-arounds (indien nog niet geprobeerd)  
   • Sluit alle browservensters, open een incognito / privévenster en probeer opnieuw.  
   • Leeg de SSO‐cookies (bnnvara.sharepoint.com + omroepzwart.sharepoint.com) en laad de pagina opnieuw.  
   • Controleer of het via een andere browser of device wel werkt – dit helpt uitsluiten of het een lokaal cache-probleem is.  

4. Acties die wij alvast nemen  
   • We hebben in Azure Application Insights de instance‐logs van beide testtenants opgevraagd (vanaf 12:00 uur) om te controleren of er 5xx‐fouten of time-outs blijven verschijnen.  
   • Er draait nu een connectivity‐test (AZ CLI: az network watcher test-connectivity) naar de webapp services van de testomgevingen om netwerkissues uit te sluiten.  
   • Ons Infra‐team valideert of er wellicht een certificate‐verlenging of DNS‐wijziging is doorgevoerd die nog niet in de testslots is uitgerold.  

5. Verwachte vervolgstap  
   • Zodra we de gevraagde details van jou hebben, koppelen we dat direct aan de logging om de exacte foutconditie te pinpointen.  
   • Mocht de oorzaak de eerder gemelde SSO‐verstoring zijn, dan dwingen we een herstart van de App Service slot af zodat alle stale tokens en locked threads verdwijnen; dit duurt doorgaans < 5 minuten.  
   • We houden je uiterlijk binnen 1 uur op de hoogte of eerder zodra er een fix live is.

Laat je even weten of je de gevraagde informatie kunt aanleveren? Dan kunnen we de downtime zo kort mogelijk houden.

Alvast bedankt voor de moeite en excuses voor het ongemak.

Met vriendelijke groet,

[Je naam]  
Team InSite / Digital Workplace Support"
2,"Beste heer/mevrouw,

Ik begrijp dat het verhogen (of aanvragen) van een licentie via het Self-Service-portaal bij u niet lukt. Hieronder vindt u de meest voorkomende oorzaken én wat u kunt doen om dit op te lossen.

1. Controleer de rol/rechten  
   • Om licenties te kunnen aanvragen of verhogen hebt u in het portaal de rol “Licentie-beheerder” (of “Tenant-Beheerder”) nodig.  
   • Laat een collega-beheerder uw account controleren en eventueel de juiste rol toekennen via:  
     Beheercentrum → Gebruikers → Rechten → Rol toewijzen.

2. Is het maximum al bereikt?  
   • Als de huidige subscription zijn hard-cap heeft bereikt, kunt u zelf geen extra licenties meer toevoegen.  
   • Neem in dat geval rechtstreeks contact op met onze verkoopafdeling: licenties@<uw-bedrijf>.nl of 088-1234567 zodat wij de limiet tijdelijk verhogen.

3. Foutmelding “Aanvraag kan niet worden verwerkt”  
   • Deze melding verschijnt meestal wanneer er nog een openstaande factuur is. Controleer of alle facturen zijn voldaan (Mijn Account → Facturatie).  
   • Zodra de betaling is verwerkt (kan tot 2 uur duren), kunt u het opnieuw proberen.

4. Browser/Cache-problemen  
   • Leeg de browsercache of probeer een andere browser (Chrome/Edge).  
   • Zorg dat pop-ups niet worden geblokkeerd; het licentie-scherm opent soms in een nieuw venster.

5. Stap-voor-stap extra licenties aanvragen  
   1. Log in op portal.<uw-bedrijf>.com.  
   2. Ga naar “Licenties”.  
   3. Klik op de betreffende product-tegel.  
   4. Kies “Bewerken” → “Aantal verhogen”.  
   5. Vul het gewenste totaal in (niet het extra aantal, maar het totaal).  
   6. Klik op “Opslaan” en bevestig.

6. Nog steeds niet gelukt?  
   • Maak een screenshot van de foutmelding.  
   • Stuur uw tenant-ID, klantnummer en gewenste aantal licenties naar support@<uw-bedrijf>.nl.  
   • Vermeld in het onderwerp: “LICENTIE – verhoging lukt niet”. Wij reageren doorgaans binnen 1 werkdag.

Hopelijk kunt u hiermee verder. Laat gerust weten wanneer het alsnog niet lukt, dan kijken we even mee op afstand.

Met vriendelijke groet,

[Naam]  
Customer Success / Licentiebeheer  
<Bedrijfsnaam>"
3,"Onderstaande checklist leidt in vrijwel alle gevallen tot de verschijnselen die u beschrijft (“statusveld UPA ontbreekt” + melding “Pensioenaangifte niet van toepassing”).  Bij elk punt staat wat u direct kunt controleren en welke handeling de gegevens in de cockpit opnieuw opbouwt.  Doorloop de punten in de aangegeven volgorde; zodra één van de voorwaarden niet klopt verschijnt exact de door u gemelde fout.

1. Controle licentie / module-activering  
   • Menupad: Algemeen / Beheer / Onderhoud / Omgeving > tabblad Modules.  
   • Module 3222 “Uniforme PensioenAanlevering” moet geactiveerd zijn.  
   • Staat hij uit, zet het vinkje aan en herstart Profit.  Daarna punt 6 uitvoeren (heropbouw).

2. Pensioeninstantie Loyalis  
   • HR / Organisatie / Instelling > Pensioeninstantie:  
     – Type = “UPA” (NIET “PRT” of “Afdracht”).  
     – Communicatieprofiel gevuld (U115 of U116).  
     – Vaste waarde “Aangifte op basis van verschillen” = Ja.  
   • Elke wijziging opslaan ⇒ daarna punt 6.

3. Werkgever-koppeling  
   • HR / Organisatie / Werkgever > tabblad Pensioen.  
     – Pensioeninstantie = Loyalis-UPA.  
     – Uniforme Pensioenaanlevering (vink “Actief”) staat aan.  
     – Startdatum UPA (kolom ingeklapt achter het vinkje) valt vóór de eerste periode die u wilt aanleveren.  
   • Aanpassing opslaan ⇒ punt 6.

4. Medewerker-koppeling  
   • HR / Medewerker > tabblad Contract / Pensioen.  
     – Pensioeninstantie = Loyalis-UPA.  
     – Pensioenregeling en uitvoeringsorganisatie zijn gevuld (veld is verplicht voor UPA).  
     – Startdatum regeling vóór of gelijk aan 01-01-2025.  
   • Wijzigingen opslaan ⇒ punt 6.

5. CAO- / Salariscomponent­instellingen  
   • HR / Payroll / Beheer / Pensioen > Pensioenregeling.  
     – Vink “Pensioenaanlevering mogelijk” staat aan.  
     – ‘Regeling voor initialisatie’ gevuld.  
   • Opslaan ⇒ punt 6.

6. Heropbouw UPA-gegevens (nodig na elke wijziging)  
   a. HR / Payroll / Overige > ‘Pensioenaanlevering her-opbouwen’.  
      – Selecteer de werkgever, jaar 2025, optie ‘Volledig her-opbouwen’.  
   b. Daarna opnieuw de loonrun ‘Definitief’ of ‘Simulation Definitief’ uitvoeren.  
      – Profit zet tijdens het verwerken van de loonrun de UPA-mutaties in de tabel HrPensionDifference.  
   c. Open nu de Aangiftecockpit.  
      – Het veld ‘UPA-status’ verschijnt.  
      – De actieknop ‘Pensioenaangifte’ opent zonder fout.

7. Cockpitindeling controleren (indien veld nog steeds ontbreekt)  
   • Selecteer in de cockpit (Met de rechtermuisknop) “Weergave bewerken”.  
   • Voeg de kolom ‘UPA-status’ handmatig toe.  
   • Als hij niet in de beschikbare kolommen staat is stap 1 t/m 5 niet volledig voldaan.

8. Geen verschillen?  
   Mocht u na bovenstaande stappen alsnog de melding krijgen maar nu wél een UPA-status zien = ‘Geen verschillen’, dan is de inrichting correct; er zijn daadwerkelijk geen mutaties t.o.v. de vorige periode.  Controle: kies menupad HR / Payroll / Analyse / ‘UPA Mutatieregister’ om te zien welke mutaties Profit geregistreerd heeft.

Veel voorkomende oorzaken die we aantroffen bij andere omgevingen:
• UPA-vink wèl bij werkgever maar niet bij de pensioeninstantie (of vice versa).  
• UPA pas aangezet nádat de loonrun al definitief was – heropbouw niet uitgevoerd.  
• Verwijzing naar oude Loyalis-instantie (type “Pensioenfonds”) i.p.v. nieuwe instantie (type “UPA”).  

Wanneer u alle punten hebt doorlopen en de UPA-status of pensioenaangifte nog steeds niet verschijnt, stuur dan:
– Een screenshot van het tabblad Pensioen bij de werkgever.  
– Een screenshot van de pensioeninstantie Loyalis.  
– Het logbestand van de heropbouw (HR / Payroll / Log).

We bekijken dan of er sprake is van een programmatiefout in release 2.9.1400.8."
4,"Beste Isabella,

Ik heb de gegevens van licentie 33092 gecontroleerd en daaruit blijkt dat het probleem niet in het Digipoort-certificaat of in de omgeving zelf zit, maar in de koppeling die bij het definitief maken van de aangifte is vastgelegd. 

De aangifte is aangemaakt op communicatieprofiel ‘Communicatie met Digipoort (OTP)’.  Dat profiel is in jullie omgeving nog steeds aanwezig, maar staat geblokkeerd.  Omdat het profiel is geblokkeerd kan AFAS geen communicatieverzoek aanmaken.  Daardoor:

• er verschijnt geen melding;  
• het Communicatielog blijft leeg;  
• in het veld ‘Communicatieprofiel’ bij de aangifte staat ‘Communicatie met digipoort’ in plaats van ‘CIS’.

Oplossing

Stap 1: controleer/zet correct communicatieprofiel  
1. Ga naar: Algemeen / Beheer / Communicatieprofielen.  
2. Controleer of ‘CIS – Digipoort (SBR)’ de status Actief heeft (dit is al zo volgens je mail).  
3. Controleer of ‘OTP – Communicatie met Digipoort’ is geblokkeerd.  Laat dit zo staan of verwijder het profiel geheel zodat het niet meer gekozen kan worden.  

Stap 2: laat de OB-regeling wijzen naar CIS  
1. Ga naar: Algemeen / Beheer / Regelingen.  
2. Open de regeling ‘Omzetbelasting’.  
3. Tabblad ‘Elektronische aangifte’: kies in het veld Communicatieprofiel ‘CIS – Digipoort (SBR)’.  
4. Opslaan.

Stap 3: genereer (opnieuw) een communicatieverzoek  
Omdat de aangifte al definitief is, hoef je die niet te verwijderen.  Het communicatieprofiel wordt pas vastgesteld op het moment dat je op ‘Versturen’ klikt.  

1. Open de betreffende aangifte.  
2. Kies ‘Acties / Opnieuw verzenden’ (of ‘Versturen’ als hij nog niet eerder is verstuurd).  
3. Het systeem maakt nu een nieuw communicatieverzoek.  Controleer dit in: Algemeen / Uitvoer / Communicatieverzoeken (of via het Communicatielog). Je ziet daar nu regels met het profiel CIS.  

Stap 4: verzend het nieuwe verzoek  
Start eventueel handmatig de taak ‘Verzenden/ontvangen Digipoort’ (of laat de geplande taak lopen).  De status in het communicatielog moet nu van ‘Wachtend’ (W) naar ‘Initieel’ (I) en daarna naar ‘Verzonden’ (V) gaan.  

Mocht je nog een keer een aangifte aanmaken, dan zal vanaf nu altijd direct het CIS-profiel worden gekozen en treedt het probleem niet meer op.

Controlepunten als het na bovenstaande toch niet werkt  
• Controleer of het Digipoort-certificaat nog steeds geldig is (Algemeen / Beheer / Certificaten).  
• Controleer of de geplande taak ‘SBR – Communicatie Digipoort’ actief is wanneer je het proces automatisch laat lopen.  
• Kijk in het Communicatielog of er alsnog foutregels (niveau E) verschijnen.  

Laat even weten of het hiermee lukt.  Bij vragen of als de verzending nog steeds niet op gang komt, hoor ik het graag!

Met vriendelijke groet,

[Naam]  
AFAS Support"
5,"Beste gebruiker,

Dank voor de extra informatie. Ik begrijp dat u in administratie 2 geen BTW-aangifte meer kunt starten omdat de knop na aanklikken simpelweg niets doet, terwijl dit in andere administraties wel lukt. Dat is uiteraard vervelend. 

Om te achterhalen waar het blijft hangen, wil ik u vragen de onderstaande stappen te doorlopen/te controleren. Een klein lokaal probleem (browser, popup-blocker) is vaak de oorzaak, maar we sluiten graag ook een administratieve blokkade uit.  

1. Browser en cache
   • Open de administratie in een privé- of incognitovenster óf probeer een andere browser (Chrome, Edge, Firefox).  
   • Schakel eventuele ad-/script-blockers tijdelijk uit.  
   • Leeg, indien mogelijk, voor de zekerheid de browser-cache.

2. Pop-up of overlay-blokkade  
   De wizard die start na ‘Aanmaken BTW-aangifte’ opent in een overlay. Worden pop-ups of scripts geblokkeerd, dan lijkt het alsof de knop niet reageert. Controleer of pop-ups voor uw Yuki-domein toegestaan zijn.

3. Reeds bestaande concept-aangifte  
   Ga in de administratie naar: Financieel > BTW-aangiften.  
   • Staat er al een conceptaangifte voor het tijdvak? Zo ja, open die conceptversie; de knop blijft dan bewust inactief totdat het concept is verwijderd of verwerkt.

4. Rollen en rechten  
   Controleer onder Instellingen > Gebruikers of uw gebruiker (of de gebruiker die het probeert) in administratie 2 nog steeds de rol ‘Financial’ of ‘Back-office’ heeft. Ontbrekende rechten kunnen de wizard blokkeren.

5. Periode- / boekjaar-vergrendeling  
   Ga naar Instellingen > Periode-vergrendeling.  
   • Is het tijdvak waarvoor u aangifte wilt doen (bijv. 2025Q1) vergrendeld? Zo ja, ontgrendel het desbetreffende tijdvak of klop bij uw verantwoordelijke collega aan.

6. Overige controles  
   • Is het juiste BTW-nummer ingevuld onder Instellingen > BTW-instellingen?  
   • Zijn herberekeningen zonder foutmeldingen afgerond?  
   • Probeer ook eens in te loggen met een andere gebruiker met voldoende rechten om te zien of het probleem daar ook optreedt.

Laat u alstublieft weten:
• Of één van bovenstaande punten het probleem oplost,  
• Of u de knop ook in een andere browser/incognito nog steeds niet actief krijgt,  
• Eventueel het tijdstip (datum + kloktijd) waarop u probeerde te klikken en er niets gebeurde,  
• Een screenshot of korte screencapture (incl. adresbalk) waarop te zien is dat er geklikt wordt maar er niets opent.

Met die informatie kunnen we eventuele serverlogboeken raadplegen en het, indien nodig, direct escaleren naar onze ontwikkelafdeling.  

Ik hoor graag of dit helpt of dat u aanvullende gegevens kunt aanleveren, zodat we samen tot een oplossing komen.

Met vriendelijke groet,

[Uw naam]  
Supportmedewerker"
6,"Oorzaak  
• De optie ‘Startwaarde’ wordt alléén gebruikt wanneer er nog géén enkel projectnummer bestaat.  
• Zodra er één of meer projecten zijn aangemaakt, zoekt het systeem naar het hoogste gebruikte nummer + 1.  
• Door handmatig project 999999 aan te maken (zes cijfers) is dat nu het hoogste nummer.  
• Het nummerformaat is in de instellingen echter begrensd tot zes cijfers (eindwaarde 999999).  
• De autonummering probeert daarom 1000000 te reserveren, maar dat ligt buiten het ingestelde bereik – vandaar de melding “Geen nummer beschikbaar (volgens instellingen)”.

Oplossingen  

1. Breng het hoogste projectnummer terug in het geldige bereik  
   a. Wijzig het handmatig aangemaakte project 999999 naar een lager nummer (bijv. 105 of 999).  
   b. Of verwijder 999999 en maak het later opnieuw aan met een lager nummer.  
   c. Activeer daarna de autonummering opnieuw: het volgende nummer wordt dan 106 (of 100, 101 … afhankelijk van de reeks die nog vrij is).

2. Vergroot het bereik van de nummering  
   a. Ga naar Instellingen → Stamgegevens → Autonummering → Projecten.  
   b. Zet “Aantal posities” of “Eindwaarde” hoger dan 999999 (bijv. 8 posities: 9.999.999).  
   c. Sla op en activeer de autonummering opnieuw. Het systeem kan dan wél 1.000.000 uitgeven.  
   (Let op: dit heeft invloed op alle toekomstige projectnummers.)

3. Stel handmatig een ‘Volgend nummer’ in (indien beschikbaar in uw versie)  
   a. In hetzelfde scherm kunt u soms een veld ‘Volgend nummer’ aanpassen.  
   b. Vul daar het eerstvolgende gewenste nummer in (bijv. 110).  
   c. Sla op en activeer de autonummering.

Advies  
• Kies de oplossing die het beste past bij uw interne nummerconventies.  
• Meestal is optie 1 het eenvoudigst: hou het hoogste nummer onder de ingestelde eindwaarde.  
• Als u de reeks toch wilt ophogen, zorg dan dat de veldlengte (“Aantal posities”) groot genoeg is voor toekomstige groei.

Mocht het probleem blijven optreden, stuur dan een schermafbeelding van:  
– de huidige instellingen van Autonummering → Projecten, en  
– het overzicht van bestaande projectnummers.  

Dan kunnen we exact zien waar het blokkeert."
7,"Oorzaak  
In de (Kern)-validatie van de connector “KnSalesRelationOrg” wordt het veld Postcode altijd gecontroleerd tegen het Nederlandse patroon ‘9999 AA’ zodra:  
1. het landcode-veld ‘NL’ bevat óf  
2. het btw-nummer met ‘NL’ begint.  

Voor buitenlandse relaties met een Nederlands btw-nummer wordt daardoor ten onrechte de Nederlandse postcode-controle geactiveerd en krijg je de foutmelding “Postcode voldoet niet aan het formaat 9999 AA”.

Oplossingsrichtingen  

1. Landcode en btw-nummer loskoppelen (aanbevolen omdat je dan de bestaande validatie kunt laten staan).  
   • Laat in het adres het échte land staan (BE, DE, FR …).  
   • Vul het btw-nummer compleet in, dus inclusief ‘NL’.  
   • In de standaard-connector is dat toegestaan; de postcode-controle kijkt dan naar het land­code-veld en niet naar het btw-prefix.  
   → Resultaat: postcodes uit België/Duitsland e.d. worden gewoon geaccepteerd.

   Stap-voor-stap  
   a. Open de klantkaart (of import-mapping).  
   b. Zet ‘Land/Regio’ op het werkelijke landcode-­veld (bijv. BE).  
   c. Laat “Btw-nr.” staan op ‘NL…’.  
   d. Opslaan/nieuw importeren.  
   e. Controleer dat er géén postcode-fout meer verschijnt.

2. Postcode-controle voor NL uitschakelen (alleen als optie 1 om operationele of fiscale redenen niet kan).  
   a. Ga naar:  
      Beheer > Stamgegevens > Landen > NL.  
   b. Vink “Postcodecontrole” uit of verwijder de reguliere expressie.  
   c. Sla op.  
   → Alle Nederlandse adressen worden dan zonder format-controle geïmporteerd.  
   Let op: dit geldt dan óók voor echte Nederlandse klanten; wees dus voorzichtig.

3. Extra landcode aanmaken (‘N1’ of ‘NLB’) met een “lege” postcode-controle.  
   • Maak in Stam­gegevens > Landen een nieuw land aan (‘NLBTW’ bijvoorbeeld).  
   • Laat postcodeformat leeg.  
   • Gebruik deze landcode alléén voor relaties met een NL-btw-nummer die buiten Nederland gevestigd zijn.  
   → Nederlandse klanten blijven op landcode ‘NL’ met volledige controle.

4. Work-around bij import  
   • Voeg in het import-script een stap toe die, vóór het wegschrijven, spaties of cijfers toevoegt zodat het postcodeveld “9999 AA” lijkt (bv. ‘0000 AA’) en sla het daarna niet mee naar Binck.  
   • Niet mooi maar voorkomt de foutmelding als een snelle oplossing nodig is.

Veelgestelde vragen  

• Heeft het gebruik van een buitenlands landcode invloed op ICP-/btw-rapportages?  
  Nee. De meeste rapportages kijken naar de prefix in het btw-nummer voor de ICP-opgaven; daar staat immers ‘NL’. Controleer dit wel in je test-omgeving.

• Hoe kan ik deze wijziging het snelst testen?  
  1. Maak in de test- of accept-omgeving één klant met het échte buitenlandse land.  
  2. Importeer via dezelfde route waarmee je nu de fout krijgt.  
  3. Controleer of de import zonder foutmelding verloopt en of de btw-/ICP-rapportage de klant nog correct meeneemt.

Samenvatting  
Zet het landcode-veld op het werkelijke (buitenlandse) land en laat het btw-nummer gewoon met ‘NL’ staan. Dan wordt de Nederlandse postcodevalidatie niet meer uitgevoerd en verdwijnt de foutmelding. Mocht dit niet mogelijk zijn, schakel de postcode­controle voor NL uit of gebruik een aparte landcode met een lege validatie."
8,"Beste …,

Dank je voor de melding.  
De fout‐tekst

( AntaObject ) The foreignkey does not exist in the database.  
FieldId = Definitiegroep, ForeignkeyId = “KnMdA”  

betekent letterlijk dat het programma een verwijzing (“foreign key”) tegenkomt naar een definitiegroep “KnMdA”, maar dat deze groep niet (meer) in de database voorkomt. Bij het samenstellen van de aanmaning wordt daardoor geen rapportbestand aangemaakt en wordt er ook niets naar de printer gestuurd.

Controleer de volgende punten:

1. Definitiegroep “KnMdA” bestaat niet meer  
   • Ga naar: Onderhoud ➜ Standaardtabellen ➜ Definitiegroepen (de precieze menunaam kan per versie iets afwijken).  
   • Kijk of er een groep met code “KnMdA” aanwezig is.  
   • Zo niet:  
     – Maak de groep opnieuw aan met exact dezelfde code, of  
     – Pas in de rapportdefinitie/aanmaningsinstelling aan dat er een bestaande definitiegroep wordt gebruikt.

2. Rapport- of e-maildefinitie verwijst nog naar oude groep  
   • Open de lay-out/rapportdefinitie die u voor de aanmaning gebruikt.  
   • Controleer in het tabblad ‘Algemeen’ of ‘Filters’ of de definitiegroep “KnMdA” is ingevuld.  
   • Wijzig dit naar een bestaande groep of laat het veld leeg indien niet nodig.

3. Eventuele oude template in de debiteurgegevens  
   • Ga naar de betreffende debiteur in Onderhoud Debiteuren.  
   • Controleer onder ‘Aanmaningen’ of ‘Rapportinstellingen’ of er nog een verwijzing naar “KnMdA” staat en corrigeer die.

4. Test daarna opnieuw  
   • Sla de wijzigingen op.  
   • Maak opnieuw een aanmaning aan voor dezelfde debiteur en kijk of het rapport nu wordt gegenereerd en naar de printer/het e-mailscherm wordt gestuurd.

Mocht de definitiegroep wél bestaan maar de fout toch blijven optreden, geef ons dan a.u.b. de volgende aanvullende informatie:  
• Naam en versie van het pakket (bijv. Multivers versie xx.x.xx).  
• De volledige tekst van de foutmelding inclusief eventuele stacktrace.  
• Het exacte moment (menu-pad) waarop de fout verschijnt.  
• Of de fout bij alle debiteuren optreedt of alleen bij specifieke.

Met die gegevens kunnen we gericht verder onderzoeken.

Met vriendelijke groet,

[Uw naam]  
Support Team"
9,"Goedemiddag,

Dank voor je uitleg. Om gericht met jullie mee te kunnen kijken heb ik nog een paar aanvullende gegevens nodig en wil ik alvast een paar mogelijke oorzaken/controlepunten noemen.

1. Betreft het één specifieke aanmanings/layout-code of meerdere?
   • Zo ja, geef even de code(s) door (bijv. ‘REM001’) en in welke administratie(s) deze worden gebruikt.

2. Wanneer is de layout voor het laatst gewijzigd?
   • Is er rond twee weken geleden (toen het voor het eerst optrad) nog iets aangepast in de layout, in de documentset of in de inrichting van het proces Aanmaningen?

3. Kun je een voorbeeld-PDF aanleveren?
   • Graag één bestand waarin zowel een lege als een correcte pagina staat, zodat we de dataset kunnen vergelijken.
   • Als dit niet kan i.v.m. privacy: volstaat ook een print-screen waarop de lege pagina met alleen de datum zichtbaar is.

4. Controles die je zelf al kunt uitvoeren
   • Open de layout in het Rapport-Ontwerp (Afas Report Builder):
     – Controleer of er een ‘Page Break’ (eigenschap Force New Page) staat op sectie- of group-niveau.
     – Controleer of er een tekstvak of subreport staat waarin alleen de datumnotatie voorkomt en dat eventueel leeg kan zijn.
   • Controleer in de samenvoegset (Documentbeheer > Documentset) of er meerdere documentonderdelen worden samengevoegd waardoor er lege inserts kunnen ontstaan.
   • Genereer het rapport eens rechtstreeks (Menu: Output > Rapportage) met dezelfde layout. Verschijnt de lege pagina dan ook? Zo ja, dan ligt het aan de layout; zo nee, dan aan het proces ‘Aanmaningen klaarzetten’.

5. Versies & updates
   • Welke Afas-versie gebruiken jullie op dit moment? (Profit 13, 14, etc.)
   • Is er recent een update of hotfix geïnstalleerd?

Zodra ik bovenstaande informatie heb, kan ik de layout of de procesinrichting nameten en eventueel een remote sessie met je plannen (vanaf 13:30 uur ben ik beschikbaar).

Laat even weten,
Met vriendelijke groet,

[Naam]
Functioneel beheer / Support"
