Index,GPT-5.1_low_antwoorden
0,"Goed dat je het hier navraagt, dit is in AFAS inderdaad niet heel intuïtief. Hieronder twee manieren om het ongemaximeerd cumulatief pensioengevend jaarinkomen te vinden: per medewerker én in één overzicht.

Belangrijk vooraf:
- Je hebt meestal ook (lees)rechten op Payroll/Salarisadministratie nodig, niet alleen HRM.
- Het exacte looncomponent voor “ongemaximeerd pensioengevend jaarinkomen” kan per omgeving verschillen. Vraag je salarisadministrateur welke looncomponent(en) bij jullie gebruikt worden (bijvoorbeeld: pensioengrondslag ongemax / vóór franchise en maximering).

1. Per medewerker (cumulatieven scherm)
Zo vind je per medewerker het cumulatieve pensioengevend jaarinkomen over 2024:

- Ga naar:  
  HRM > Medewerker  
- Zoek en open de betreffende medewerker (dubbelklik).
- Ga naar de tab: Salaris (of Salaris / Loonstrook, afhankelijk van jullie inrichting).
- Klik op: Cumulatieven (of Cumulatieve gegevens / Jaarcumulatieven).
- Kies:
  - Loontijdvak: Jaar
  - Jaar: 2024
- In de lijst met looncomponenten zoek je het looncomponent dat staat voor “ongemaximeerd pensioengevend jaarinkomen” / pensioengrondslag ongemax.
- De cumulatieve waarde die je daar ziet voor 2024 is het bedrag dat je aan ASR Loyalis moet doorgeven.

2. In één rapport/overzicht (alle medewerkers)
Als je dit voor alle medewerkers tegelijk nodig hebt:

- Ga naar:  
  Payroll (Salaris) > Uitvoer / Output > Analyses of Verslagen
- Zoek naar een rapport zoals:
  - Cumulatief overzicht looncomponenten  
  - Overzicht looncomponenten cumulatief per medewerker  
  (de exacte naam kan per versie/omgeving iets verschillen)
- Start dit overzicht met:
  - Jaar: 2024
  - Soort cumulatief: Jaar
  - Populatie: alle relevante medewerkers
- Filter of groepeer in het rapport op het looncomponent voor:
  - Ongemaximeerd pensioengevend jaarinkomen / pensioengrondslag ongemax
- Exporteer eventueel naar Excel om het eenvoudig te kunnen aanleveren aan ASR Loyalis.

3. Als je het menu niet kunt vinden
- Zie je geen “Payroll” / “Salaris” of geen analyses/verslagen?  
  Dan mis je waarschijnlijk de juiste Payroll-rechten. Vraag je salarisadministratie of applicatiebeheer:
  - Welk looncomponent bij jullie hoort bij “ongemaximeerd pensioengevend jaarinkomen”.
  - Of zij het cumulatieve overzicht voor 2024 voor je willen uitdraaien.

Als je me kunt vertellen:
- Welke AFAS-versie jullie gebruiken (Profit on premise / Online),
- En of je in het menu “Payroll” of “Salaris” ziet,

dan kan ik de exacte menupaden in jouw versie nog preciezer uitschrijven."
1,"Dank voor je melding.

Om dit goed te kunnen uitzoeken heb ik nog wat extra informatie nodig:

1) Foutmelding en gedrag
- Wat gebeurt er precies als je de InSite testomgeving opent?  
  - Blijft de pagina laden, krijg je een foutmelding (bijv. 404/500/‘pagina niet bereikbaar’), een blanco scherm, of word je teruggestuurd naar de login?
- Kun je (indien mogelijk) de exacte foutmelding of een screenshot aanleveren?

2) URLs en toegang
- Welke URL(s) gebruik je voor:
  - Testomgeving BNNVARA InSite  
  - Testomgeving OMROEP ZWART InSite
- Werkt de productieomgeving van BNNVARA en OMROEP ZWART nog wel normaal via dezelfde SSO-tegel?

3) Scope van het probleem
- Hebben collega’s hetzelfde probleem, of lijkt het alleen bij jouw account/werkplek te spelen?
- Heb je het al geprobeerd in:
  - Een andere browser (Chrome/Edge/Firefox)?  
  - Incognitovenster/private mode?  
  - Na het verwijderen van cookies/cache?

4) SSO/tegel
- Open je de testomgevingen via:
  - Een SSO-tegel in een portaal (zo ja: welk portaal?)  
  - Of via een directe URL in de browser?
- Verschilt het gedrag als je inlogt via een andere route (bijv. eerst portaal, dan tegel, of direct de URL)?

5) Tijdstip
- Rond welk tijdstip werkte het nog wel vandaag?  
- Rond welk tijdstip merkte je dat het niet meer werkte?

Zodra je deze info hebt (en eventueel een foutmelding/screenshot), kan ik gerichter:
- Nagaan of er een storing of wijziging is in de testomgevingen/SSO-configuratie;
- Controleren of de test-URL’s nog correct en bereikbaar zijn;
- Uitsluiten dat het aan browser/cookies/werkplek ligt."
2,"Dank voor je melding.

Om je goed te kunnen helpen met de licentie-aanvraag die je zelf niet kunt verhogen, heb ik een paar extra gegevens nodig:

- Om welk product/pakket gaat het precies?
- Krijg je een foutmelding? Zo ja, welke tekst zie je?
- Via welke omgeving probeer je de aanvraag te doen? (bijv. portal/beheeromgeving + URL of naam)
- Heb je voldoende rechten/rol om licenties te beheren (bijv. admin/beheerder)?

Wil je, indien mogelijk, ook een screenshot meesturen van de pagina waar het misgaat (met foutmelding zichtbaar)?  
Zodra ik deze info heb, kan ik gerichter aangeven waarom het verhogen niet lukt en wat de volgende stap is (bijvoorbeeld een rechtenaanpassing of een handmatige verhoging via support)."
3,"Dank voor de uitgebreide toelichting, dat helpt.

Kort samengevat: de UPA lijkt wél aangezet, maar in de aangiftecockpit zie je geen UPA-statusveld en de actie “Pensioenaangifte” geeft de melding dat de pensioenaangifte “Niet van toepassing” is. Dit is een situatie die vaker voorkomt; meestal blijkt het een combinatie te zijn van:

- UPA is niet volledig geactiveerd op alle benodigde plekken, of
- Er zijn (voor die periode) feitelijk geen “UPA‑relevante” gegevens, waardoor Profit de aangifte op “Niet van toepassing” zet.

Welke dingen kun je nu concreet controleren?

1) Controleer de volledige UPA‑activering (alle niveaus)
Je geeft aan dat deze al gedaan is, maar juist hier gaat het vaak mis op één klein puntje:

- Instantie:
  - Pensioeninstantie Loyalis is aangemaakt als pensioenuitvoerder (type pensioeninstelling) en UPA staat geactiveerd.
- Instantie bij werkgever:
  - Op de werkgever is dezelfde Loyalis‑instantie gekoppeld.
  - Controleer vanaf welke datum deze koppeling actief is (geldigheidsdatum). Deze moet vóór/ op de periode liggen waarin je de aangifte wilt doen.
- Instantie bij medewerkers:
  - Controleer per medewerker:
    - Dat dezelfde Loyalis‑instantie is gekoppeld.
    - Dat de ingangsdatum van de pensioenregeling binnen de aangifteperiode valt.
    - Dat de pensioenregeling is ingericht als UPA‑regeling (niet een oude/andere regeling zonder UPA-vink).
- Communicatieprofiel:
  - Controleer of het communicatieprofiel voor Loyalis correct is ingevuld (UPA-profiel, juiste uitvoerder, endpoints/certificaat waar nodig).
  - Zorg dat dit profiel aan de juiste instantie/werkgever is gekoppeld, niet aan een testinstantie.

2) Controleer of er wel verschillen zijn t.o.v. vorige aangifte
De foutmelding zegt letterlijk:

“De pensioenaangifte bevat geen verschillen ten opzichte van de voorgaande pensioenaangifte in dezelfde periode of de pensioenaangifte is niet (volledig) ingericht.”

Mogelijke oorzaken:
- Er is nog nooit eerder succesvol een UPA‑aangifte gedaan:
  - Dan kan het zijn dat Profit geen “startpunt” heeft. Vaak moet je:
    - Eerst een volledige loonrun voor de betreffende periode draaien.
    - Daarna de UPA‑aangifte opnieuw laten opbouwen (aangiftecockpit verversen).
- Er zijn geen medewerkers die binnen deze periode onder de Loyalis‑regeling vallen.
- De mutaties vallen buiten de aangifteperiode (bijv. ingangsdatum pensioenregeling ligt na de periode waar je nu de aangifte voor wilt doen).

3) Controleer de aangiftecockpit‑weergave (UPA‑velden tonen)
Het feit dat je het UPA‑statusveld niet ziet, wijst er vaak op dat:

- Ofwel de cockpitweergave geen UPA‑kolommen bevat.
- Ofwel Profit jouw instelling nog niet herkent als UPA‑aangifte.

Controleer daarom:
- In de aangiftecockpit:
  - Via “Weergave aanpassen” (of vergelijkbare optie) kun je extra kolommen toevoegen.
  - Zoek naar kolommen als:
    - UPA-status
    - UPA-nummer / UPA‑referentie
  - Als deze kolommen niet beschikbaar zijn, is de module “Uniforme Pensioenaangifte” mogelijk niet volledig geactiveerd in de algemene instellingen.
- In de algemene / systeeminstellingen:
  - Controleer of “Uniforme Pensioenaangifte” daar daadwerkelijk als functionaliteit is aangezet (HRM/Payroll instellingen → interfaces / koppelingen).

4) Controleer de koppeling aangiftesoort – pensioeninstantie
In sommige omgevingen moet je in de aangifte-inrichting expliciet aangeven dat er voor de betreffende werkgever en periode een UPA‑aangifte richting Loyalis moet komen. Controleer daarom:

- In de inrichting van de aangiftecockpit / aangiftesoorten:
  - Of er een aangiftesoort is voor “UPA Loyalis”.
  - Of die aangiftesoort aan de juiste werkgever en instantie is gekoppeld.
  - Of de periode(s) voor die aangifte zijn geactiveerd.

5) Test met een enkele medewerker
Om uit te sluiten dat het een data‑issue is:

- Kies één medewerker waarvan je zeker weet dat:
  - Hij/zij aan Loyalis is gekoppeld.
  - Er een salarisrun over de betreffende periode is gedraaid.
- Voer eventueel een kleine testmutatie uit (bijv. uren of loon), run de loonverwerking opnieuw, en kijk:
  - Of er nu wél een UPA‑aangifteregel wordt opgebouwd met een andere status dan “Niet van toepassing”.

6) Wanneer is het echt een software-issue?
Op basis van je log:

- Type: Afas.Profit.MessageException
- Methode: StartPension in AfasHrTaxView

Dit is de standaardmelding die Profit geeft als er géén UPA‑gegevens zijn opgebouwd voor die aangifteregel, of de inrichting echt onvolledig is. Het is dus niet direct een “crash”, maar een gecontroleerde fout door ontbrekende/irrelevante data.

Als je na het nalopen van bovenstaande:

- Nog steeds geen UPA‑statusvelden kunt tonen in de cockpit, én
- Zeker weet dat:
  - Pensioeninstantie, werkgever, medewerkers en communicatieprofiel correct en met geldige datums zijn ingericht.
  - Er loonruns zijn gedraaid in de betreffende periode,
  
dan zou ik:

- De volgende info aan AFAS support doorgeven:
  - EnvironmentId (O89714AA heb je al genoemd).
  - Concrete voorbeeldmedewerker + periode.
  - Screenshots van:
    - Instantie Loyalis.
    - Instantie bij werkgever (met datums).
    - Instantie bij medewerker (met datums).
    - Communicatieprofiel.
    - Aangiftecockpit incl. kolommen.
  - Vermelding dat het UPA‑statusveld in de cockpit niet beschikbaar/zichtbaar is.

Samenvattend: ja, deze melding/ situatie komt vaker voor. In de meeste gevallen zit het in:
- Een ontbrekende of foutieve datum in de koppeling instelling–werkgever–medewerker.
- Geen loonrun (of geen mutaties) in de betreffende periode.
- De UPA‑kolommen zijn nog niet toegevoegd in de cockpitweergave of de UPA‑functionaliteit is niet volledig aan.

Als je wilt, kun je een paar screenshots (zonder privacygevoelige data) van de schermen “Instantie bij werkgever”, “Instantie bij medewerker” en de aangiftecockpit delen; dan kan ik gerichter aanwijzen waar het waarschijnlijk misgaat."
4,"Goedemiddag Isabella,

Dank voor je uitgebreide toelichting, dat helpt heel erg.

Op basis van wat je beschrijft lijkt er vooral het volgende aan de hand:
- De aangifte staat op het communicatiekanaal “Communicatie met Digipoort”, terwijl dit “CIS” moet zijn.
- Het communicatielog toont alleen code-niveau “I” zonder bericht-id/deelnemer/informatie: dat duidt erop dat er feitelijk geen verzendpoging wordt gedaan (dus de communicatie wordt niet eens echt opgestart).

Omdat de administratie recent is overgezet naar een nieuwe licentie/omgeving, is de kans groot dat:
- De koppeling tussen de btw-aangifte en het juiste communicatieprofiel (CIS) in de nieuwe omgeving niet goed is overgenomen, of
- De betreffende aangifte is nog gekoppeld aan de “oude” communicatie-instellingen (Digipoort-profiel van de vorige omgeving) en probeert daardoor via een “niet-bestaande” route te versturen.

Zou je het volgende stap voor stap willen controleren?

1) Controleer het communicatieprofiel in de administratie
- Open de administratie van Taartenwinkel.nl in de nieuwe omgeving (33092).
- Ga naar de administratie-eigenschappen.
- Controleer bij de btw/omzetbelasting/Digipoort-instellingen:
  - Communicatiewijze/communicatiekanaal: staat hier echt CIS geselecteerd?
  - Communicatieprofiel: is hier het CIS-profiel gekozen dat de status “Actief, gekoppeld met AFAS Online Digipoort-service” heeft?  
  - Staat nergens nog “Communicatie met Digipoort” of een oud/OTP-profiel aangewezen?

2) Controleer het CIS-profiel zelf
- Ga naar de algemene instellingen voor communicatieprofielen.
- Open het CIS-profiel:
  - Controleer of:
    - Het type/protocol overeenkomt met CIS (en niet met een specifiek Digipoort-profiel van de oude omgeving).
    - De koppeling met de AFAS Online Digipoort-service actief is in deze nieuwe omgeving (je geeft dit al aan, maar graag nogmaals verifiëren).
  - Controleer of er niet per ongeluk nog een ander profiel is dat bij btw-aangiftes gebruikt wordt (bijv. een oud Digipoort-profiel) en dat nog aan de administratie hangt.

3) Controleer de inrichting van de btw-aangifte in de nieuwe omgeving
- Controleer of in de inrichting van de belastingaangiften:
  - Voor btw-aangifte expliciet staat dat deze via CIS loopt.
  - Er niet nog een verwijzing is naar het oude communicatieprofiel of naar “Communicatie met Digipoort”.

4) Specifiek voor deze (al definitieve) aangifte
Omdat de aangifte:
- is aangemaakt en definitief gemaakt vóór de aanpassing van het Digipoort-certificaat en de (nieuwe) CIS-inrichting,
- én inmiddels niet meer verwijderd kan worden,

kan het zijn dat deze specifieke aangifte vastzit aan de oude instellingen (oud communicatieprofiel / oud kanaal). In dat geval gebeurt vaak het volgende:
- De aangifte “denkt” nog via een niet-beschikbaar kanaal te moeten versturen.
- Het communicatielog registreert alleen een interne info-regel (niveau I), maar maakt geen echte verzending aan (geen bericht-id, geen deelnemer).

Als alle controles bij 1–3 goed staan, maar deze aangifte nog steeds:
- in de kolom “Communicatie met Digipoort” blijft hangen,
- niet via CIS wordt aangeboden,
- en het communicatielog leeg blijft op berichtniveau,

dan zijn er meestal 2 opties:

a) Nieuwe aangifteperiode
Voor nieuwe periodes zal het – als de inrichting nu goed staat – wél werken. Je kunt dit testen door:
- Een volgende (test)periode klaar te zetten in dezelfde administratie, en
- Te controleren of:
  - de aangifte nu wel onder CIS valt,
  - er bij verzending een bericht-id in het communicatielog verschijnt.

b) Huidige aangifte door AFAS laten herstellen
Voor deze specifieke, al definitieve aangifte kan het nodig zijn dat AFAS Support:
- óf de communicatiekoppeling van deze aangifte in de database corrigeert naar CIS,
- óf de status dusdanig aanpast dat je de aangifte opnieuw kunt genereren onder de juiste communicatie-instellingen.

Omdat jij hiermee al best veel hebt uitgesloten, zou ik het volgende voorstellen:

Stuur aan (AFAS) support:
- Een screenshot van:
  - De administratie-eigenschappen (btw/Digipoort-instellingen) van Taartenwinkel.nl in omgeving 33092.
  - Het gebruikte CIS-communicatieprofiel (incl. status en koppeling).
  - De btw-aangifte zelf, waar zichtbaar is dat deze onder “Communicatie met Digipoort” hangt.
  - Het communicatielog van deze aangifte met de code-niveau “I”.
- Vermeld expliciet:
  - Dat het CIS-profiel in de nieuwe omgeving actief en gekoppeld is,
  - Dat OTP is geblokkeerd,
  - Dat de administratie volledig is ingericht,
  - Dat nieuwe aangiftes waarschijnlijk wel goed via CIS zullen gaan, maar dat deze specifieke aangifte vóór de omschakeling is aangemaakt en nu niet verzonden kan worden.

Vraag hen dan expliciet:
- Of zij deze aangifte kunnen:
  - koppelen aan het CIS-profiel in de nieuwe omgeving, of
  - terugzetten zodat jullie hem opnieuw kunnen genereren onder de juiste communicatieprofiel-instellingen.

Als je wilt, kun je de screenshots/instellingen hier ook eerst kort beschrijven (of tonen), dan kan ik nog meekijken of er iets in de inrichting over het hoofd wordt gezien voordat je het bij AFAS neerlegt."
5,"Dank je voor de duidelijke uitleg, dat helpt al veel.

Een paar gerichte controles om dit te kunnen oplossen:

1) Basiscontroles in administratie 2
- Kun je bevestigen:
  - Dat er wel een aangifteperiode openstaat (bijv. Q1 2025 / maart 2025)?
  - Dat alle eerdere BTW‑aangiften tot en met de vorige periode zijn afgerond/verwerkt?
  - Dat de administratie niet op “Alleen-lezen” of geblokkeerd staat (bijv. i.v.m. jaarafsluiting)?

2) Gebruiker en rechten
- Treedt dit probleem op bij:
  - Alleen jouw gebruiker, of ook bij een collega met dezelfde administratie 2?
  - Kun je het (laten) testen met een gebruiker met beheerders- of eigenaarrechten?
- Is er recent iets gewijzigd in gebruikersrollen of rechten (ook al niet in instellingen van de administratie zelf)?

3) Technische controles
- Wil je testen:
  - In een andere browser (bijv. Chrome/Edge/Firefox)?
  - In een privé/incognito-venster?
  - Of na het leegmaken van cache en cookies?
- Treedt de knopreactie ook niet op:
  - Wanneer je rechtstreeks via het menu naar de BTW-aangifte gaat (bijv. via Rapporten/Belastingen/Btw-aangifte)?
  - Of alleen via een specifieke knop (bijv. in een dashboard/overzicht)?

4) Extra informatie voor ons
Stuur ons alsjeblieft:
- Een schermafbeelding waar:
  - De knop voor het aanmaken van de BTW-aangifte zichtbaar is.
  - De gekozen periode en administratie 2 duidelijk te zien zijn.
- De exacte naam van:
  - Administratie 2 (zoals die in het systeem staat).
  - Het belastingtijdvak waarvoor je nu een aangifte probeert te maken.
- De datum en het tijdstip waarop je het probleem het laatst hebt gereproduceerd.

Als je deze punten beantwoordt en de schermafbeelding meestuurt, kunnen we gericht nagaan of er sprake is van:
- Een geblokkeerde periode of status in administratie 2.
- Een rechtenprobleem voor jouw gebruiker.
- Of een specifieke bug in de knop/functionaliteit voor BTW‑aangifte in deze administratie."
6,"Dank voor je duidelijke uitleg, dat helpt!

Samengevat:  
Je hebt autonummering voor projecten ingesteld met:
- Startwaarde: 100  
- Je hebt handmatig een projectnummer 999999 aangemaakt  
- Sindsdien krijg je bij autonummeren: “Geen nummer beschikbaar (volgens instellingen) tijdens autonummering.”  
- Je kunt nog wel projecten aanmaken, maar alleen zonder autonummering  

Wat er waarschijnlijk aan de hand is  
De foutmelding betekent meestal dat de autonummering geen “vrij” nummer meer kan vinden dat binnen de ingestelde regels valt. In jouw geval zijn er een paar waarschijnlijke oorzaken:

1) Hoogste bestaande nummer ligt buiten het bereik van de autonummering  
- Als de autonummering is ingesteld om vanaf 100 op te lopen (bijvoorbeeld 100, 101, 102...) en er nu een handmatig nummer 999999 bestaat, dan kan het systeem:
  - óf proberen verder te tellen na 999999, maar dat valt buiten het ingestelde bereik of aantal cijfers
  - óf het nummerbereik is beperkt (bijv. max 6 cijfers, max 999999), en 999999 is de laatste waarde, waardoor er “geen nummer meer beschikbaar” is.

2) Instellingen van de autonummering blokkeren verdere nummers  
Bijvoorbeeld:
- Een maximum of eindnummer is ingesteld dat al bereikt is  
- De lengte / het formaat van het nummer (met voorloopnullen) laat geen hoger nummer meer toe  
- Er is een filter of reeks ingesteld (bijv. alleen binnen bepaalde range of periode)

Wat je nu zelf kunt controleren/proberen  
Ga naar de instellingen van de autonummering voor projecten en controleer:

- Startnummer / Begin bij nummer:
  - Staat deze op 100?  
  - Staat er ook een “Eindnummer” of “Maximaal nummer”? Zo ja: is dat lager of gelijk aan 999999?

- Lengte van het nummer:
  - Is er een vaste lengte ingesteld (bijvoorbeeld 6 posities)?  
  - Als 999999 het hoogste 6-cijferige nummer is, kan er niets hoger meer aangemaakt worden.

- Formaat / masker:
  - Staat er iets als “{NUMBER:000000}” of soortgelijk?  
  - Dan is de hoogste waarde 999999.

Mogelijke oplossingen  
Afhankelijk van wat je aantreft in de instellingen:

1) Je wilt gewoon verder nummeren na 999999 is niet nodig  
- Als 999999 alleen een “test” of uitzonderlijk nummer was:
  - Overweeg dat nummer (als het kan) te wijzigen naar een lager, passend nummer binnen de reeks (bijv. 150 of een ander vrij nummer).
  - Daarna zou de autonummering weer logisch de volgende waarde na het hoogste nummer binnen de reeks moeten kiezen.

2) Je wilt de autonummering weer laten beginnen op een logisch nummer  
- Pas in de autonummering de “Startwaarde” aan naar een waarde hoger dan alle bestaande projectnummers binnen de gewenste reeks.
  - Bijvoorbeeld: als je bestaande nummers tot 200 hebt (en 999999 wil je houden als uitzondering), stel dan een nieuwe reeks in (bijvoorbeeld met een prefix of andere nummerreeks) om botsing te voorkomen.

3) Er zit een maximum of eindnummer in de weg  
- Als er een eindnummer of maximale waarde is ingesteld (bijv. 999999):
  - Verhoog dit maximum (als je software dat toelaat).
  - Of verklein het aantal gebruikte cijfers / begin een nieuwe reeks (bijv. met een prefix zoals “2025-001”, etc.).

Om je gericht te helpen heb ik nog een paar vragen  
Als je kunt, stuur (geanonimiseerd) de volgende info of een screenshot van de autonummeringsinstellingen voor projecten:

- “Begin bij nummer”:  
- Eventuele “Eindnummer” / “Max. nummer”:  
- Eventuele lengte of masker (bijv. 000000, of iets met letters en cijfers)  
- Een paar voorbeeld-projectnummers die nu in gebruik zijn, inclusief de 999999  

Met die gegevens kan ik precies aangeven:
- Waarom jouw “Startwaarde 100” nu genegeerd wordt  
- Welke concrete wijziging je moet doen (en waar) om de autonummering weer werkend te krijgen, met het “juiste” volgende nummer."
7,"Dank voor de toelichting, dit is een herkenbare situatie bij buitenlandse relaties met een NL‑btw‑nummer.

Omdat ik het genoemde bestand/foutmelding niet kan inzien, geef ik je de meest waarschijnlijke oorzaken en oplossingen:

Waarschijnlijk probleem
- De connector/validatie behandelt de klant als “Nederlands” (omdat er een NL‑btw‑nummer is of omdat het landcode‑veld leeg of “NL” is).
- Daardoor wordt de postcode gevalideerd op Nederlandse indeling (1234AB).
- Omdat het een buitenlands adres is, voldoet de postcode daar niet aan → constante foutmelding.

Mogelijke oplossingen

1) Controleer landcode en klanttype
- Zorg dat bij deze klanten het land expliciet is ingevuld als het buitenlandse land (bijv. DE, BE, FR) en niet NL.
- Als er in jullie systeem een veld is als “Binnenland/Buitenland” of “EU/Non‑EU”, zorg dan dat:
  - Het land = buitenland
  - De btw‑behandeling = binnenlandse transactie met NL‑btw (indien toegestaan)
- In veel systemen hangt de postcodevalidatie aan het land, niet aan het btw‑nummer. Als het land goed staat, zou de NL‑postcodecontrole uit moeten gaan.

2) Instellingen van de connector / postcodevalidatie
- Controleer in de configuratie van de connector “KnSalesRelationOrg”:
  - Is er een optie “Postcodevalidatie” of “Adrescontrole” die je kunt:
    - uitschakelen voor buitenlandse landen, of
    - beperken tot Land = NL?
- Als dat niet in de UI kan, moet in de mapping/technische configuratie vaak een regel worden opgenomen:
  - “Valideer postcode alleen als Land = NL”.

3) Mapping bij import van adressen aanpassen
Omdat je aangeeft dat adressen worden geïmporteerd:
- Controleer het bronbestand:
  - Staat daar de juiste landcode in per klant?
- Controleer de mapping van de import:
  - Wordt de landcode wel correct meegenomen?
  - Wordt er nergens standaard “NL” ingevuld als land omdat er een NL‑btw‑nummer is?
- Zorg dat:
  - De landcode gebaseerd is op het werkelijke adresland.
  - Er geen automatische omzetting naar NL plaatsvindt.

4) Eventuele “workaround” als niets anders kan
Dit is minder netjes, maar soms gebruikt:
- Voor systemen die per se een Nederlandse postcode verwachten als Land = NL, kan men:
  - Land = echte landcode laten staan;
  - En/of in een apart veld de “echte” buitenlandse postcode zetten;
  - Een fictieve NL‑postcode alléén gebruiken als het systeem anders niet wil opslaan (bijvoorbeeld 1234AA).  
Maar: dit is alleen een noodoplossing; beter is de validatie correct in te stellen (zie 1–3).

5) Wat je concreet nu kunt doen
- Open één van de betreffende klanten:
  - Controleer:
    - Landcode
    - Klanttype/binnenland-buitenland
    - Btw‑instellingen.
- Doe een test:
  - Zet land op het juiste buitenland en sla op.
  - Kijk of de foutmelding dan verdwijnt.
- Check de connectorinstellingen of importmapping:
  - Is er een regel die op basis van NL‑btw‑nummer Land = NL zet of postcodecontrole activeert? Zo ja, pas die aan.

Als je wilt, kun je:
- De exacte foutmelding en een (geanonimiseerde) screenshot van de klantkaart + landcode + btw‑nummer + postcode sturen, dan kan ik gerichter aangeven waar je het moet aanpassen."
8,"Dank voor je uitleg, dit helpt al veel.

De kern van de foutmelding is:
“AntaObject) The foreignkey does not exist in the database. FieldId=Definitiegroep, ForeignkeyId=KnMdA”

Dat betekent praktisch:
- Het systeem probeert een “definitiegroep” (sjabloon-/instellingengroep) met code “KnMdA” te gebruiken
- Deze code “KnMdA” bestaat niet (meer) in de database
- Daardoor kan de aanmaning niet worden aangemaakt en wordt er geen printbestand aangemaakt

Omdat je aangeeft dat het nog nooit gewerkt heeft, is de kans groot dat de aanmaningsinstellingen/sjabloon niet (goed) zijn ingericht.

Wat je nu het beste kunt doen:

1) Controleer of de definitiegroep/sjabloon “KnMdA” bestaat
- Ga naar de plek in het pakket waar de “definitiegroepen”, sjablonen of lay-outs voor aanmaningen worden beheerd.
  (Bijv. instellingen voor aanmaningen, documentdefinities, lay-outs, sjablonen o.i.d.)
- Zoek naar:
  - Een definitiegroep met code “KnMdA”
  - Of naar de aanmaningsdefinitie die aan debiteuren/aanmaningsproces gekoppeld is
- Als “KnMdA” niet voorkomt:
  - Dan is deze nooit aangemaakt of ooit verwijderd.
  - Je moet dan een geldige definitiegroep/sjabloon selecteren of (laten) aanmaken.

2) Controleer de instellingen van de aanmaning zelf
- Open de instellingen voor:
  - Aanmaningsniveau(s)
  - Layout of rapport voor aanmaningen
  - Eventuele koppeling aan debiteurgroep of administratie
- Kijk of daar ergens “KnMdA” staat ingesteld bij:
  - Definitiegroep
  - Layout/rapport
  - Of een vergelijkbaar veld
- Wijzig dit naar een bestaande en correcte definitiegroep / layout:
  - Kies bijvoorbeeld een standaard “Aanmaning” layout die wel bestaat.
  - Sla de instellingen op.

3) Test opnieuw
- Start het proces voor het aanmaken van een aanmaning opnieuw:
  - Voor dezelfde debiteur
  - Met dezelfde stappen als eerst
- Controleer:
  - Of de foutmelding nu weg is
  - Of er nu wél een printbestand wordt aangemaakt en naar de printer (of mail) gaat

4) Als je niet weet welke definitiegroep je moet gebruiken
- Vraag intern:
  - Of iemand eerder aanmaningen heeft ingericht
  - Of er documentatie of een handleiding is van jullie softwareleverancier
- Eventueel is het nodig om:
  - De leverancier of jullie IT-beheerder te laten controleren welke definitiegroep/layout voor aanmaningen hoort te worden gebruikt.

Om je gerichter te kunnen helpen heb ik nog twee vragen:
1) Welk softwarepakket gebruik je precies? (bijv. Exact, AFAS, King, of iets anders)
2) Kun je (zonder gevoelige gegevens) een schermafbeelding sturen van het scherm waar je de aanmaning instelt en waar “Definitiegroep” of de layout/sjabloon wordt gekozen?

Met die info kan ik je stap-voor-stap door de juiste schermen en instellingen leiden."
9,"Dank voor je toelichting.

Om goed te kunnen meekijken heb ik nog een paar gerichte vragen/controles nodig:

1) Concrete voorbeelden
- Kun je 2–3 voorbeelddebiteuren doorgeven:
  - Administratie (1 of 6)
  - Debiteurnummer
  - Aanmaningsniveau (1e/2e/3e aanmaning)
  - Datum waarop de aanmaning is gegenereerd
- Kun je een PDF-bijlage toevoegen van:
  - Een aanmaning waar het goed gaat
  - Een aanmaning met (een) lege pagina(’s) met alleen de datum

2) Layout / rapportgegevens
- Welke lay-out gebruik je voor deze aanmaningen in AFAS (naam van de lay-out/rapport I-veld)?
- Is er recent (ongeveer 2 weken geleden) iets aangepast aan:
  - de aanmaningslay-out,
  - het onderliggende rapport,
  - of de instelling van aanmaningen (bijv. herinneringsteksten, selecties, minimum-/maximumbladzijden)?

3) Controle die je zelf kunt doen
Wil je alvast het volgende checken:
- Open in AFAS de rapportlay-out die gebruikt wordt voor de aanmaning.
- Controleer of er in de lay-out:
  - een sectie/pagina is die alleen een datumveld bevat;
  - voorwaarden zijn ingesteld voor het tonen/onderdrukken van pagina’s (bijv. “Suppress if…” / “Alleen tonen indien…”).
- Controleer bij het genereren van de aanmaningen:
  - of je een specifieke datumselectie of filter hebt ingesteld;
  - of dezelfde lege pagina’s ontstaan als je een test doet met één enkele debiteur.

4) Bereikbaarheid
Je gaf aan dat je na 13:30 bereikbaar bent. Wil je aangeven:
- Vandaag welke datum dat precies is (i.v.m. planning)?
- Het telefoonnummer waarop we je kunnen bereiken?

Als je de gevraagde voorbeelden en schermafbeeldingen toevoegt (AFAS-scherm met de gebruikte lay-out + voorbeeld-PDF), kunnen we gericht nagaan of:
- het probleem in de lay-out/rapportdefinitie zit;
- of er iets misgaat bij de selectie/generatie van de aanmaningen."
